id,name_vi,name_en,price,size,category,ingredients,description,tags,available
menu_0001,Cà phê đen đá,Iced Black Coffee,29000,S,coffee,cà phê robusta|đá,"Cà phê đen đá size S (29.000đ) — đậm vị, không sữa, tỉnh táo. Phù hợp khách thích vị đắng, muốn tỉnh ngủ, giá rẻ.",coffee|black|strong|iced|bitter|no-milk|cheap,true
menu_0002,Cà phê sữa đá,Iced Milk Coffee,35000,S,coffee,cà phê|sữa đặc|đá,"Cà phê sữa đá size S (35.000đ) — béo nhẹ, ngọt vừa, đậm vị. Phù hợp khách thích cà phê có sữa, vị cổ điển.",coffee|milk|sweet|iced|popular|classic,true
menu_0003,Bạc xỉu,White Coffee,35000,S,coffee,cà phê|sữa tươi|đá,"Bạc xỉu size S (35.000đ) — cà phê sữa nhạt hơn, thơm sữa, dịu vị. Phù hợp khách không thích đắng, thích sữa nhiều.",coffee|milk|mild|sweet|creamy|iced|popular,true
menu_0004,Cà phê đen nóng,Hot Black Coffee,29000,S,coffee,cà phê robusta,"Cà phê đen nóng size S (29.000đ) — đậm vị, nóng, không sữa, cổ điển. Phù hợp khách thích cà phê truyền thống buổi sáng.",coffee|black|strong|hot|bitter|no-milk|classic,true
menu_0005,Cà phê sữa nóng,Hot Milk Coffee,35000,S,coffee,cà phê|sữa đặc,"Cà phê sữa nóng size S (35.000đ) — ấm áp, béo sữa, ngọt vừa. Phù hợp buổi sáng lạnh hoặc thích đồ nóng.",coffee|milk|sweet|hot|warm|classic,true
menu_0006,Cappuccino,Cappuccino,55000,S,coffee,espresso|milk foam,"Cappuccino size S (55.000đ) — lớp bọt sữa mịn, vị espresso đậm, thơm. Phù hợp khách thích cà phê kiểu Ý.",coffee|espresso|foam|strong|premium|italian,true
menu_0007,Latte,Latte,55000,S,coffee,espresso|steamed milk,"Latte size S (55.000đ) — sữa nhiều hơn cappuccino, vị cà phê dịu hơn, béo mịn. Phù hợp khách thích vị nhẹ và sữa.",coffee|milk|smooth|creamy|mild|premium,true
menu_0008,Americano,Americano,45000,S,coffee,espresso|nước,"Americano size S (45.000đ) — espresso pha loãng, thanh mát, ít calo. Phù hợp khách ăn kiêng hoặc thích vị nhẹ.",coffee|espresso|black|light|low-sugar|no-milk,true
menu_0009,Trà sen vàng,Golden Lotus Tea,45000,S,tea,trà oolong|hoa sen|mật ong,"Trà sen vàng size S (45.000đ) — hương sen tinh tế, vị thanh nhẹ, thơm mật ong. Phù hợp khách thích trà hoa nhẹ nhàng.",tea|lotus|mild|sweet|fragrant|floral|light,true
menu_0010,Trà đào cam sả,Peach Lemongrass Tea,45000,S,tea,trà|đào|cam|sả,"Trà đào cam sả size S (45.000đ) — chua ngọt cân bằng, thanh mát, thơm sả. Phù hợp trời nóng, thích trái cây.",tea|peach|citrus|lemongrass|fruity|refreshing|sour-sweet,true
menu_0011,Trà vải,Lychee Tea,45000,S,tea,trà|vải thiều|đường,"Trà vải size S (45.000đ) — ngọt thanh hương vải, nhẹ nhàng. Phù hợp khách thích trà nhẹ dịu, hương trái cây.",tea|lychee|sweet|fruity|light|mild,true
menu_0012,Trà bưởi mật ong,Honey Pomelo Tea,49000,S,tea,trà|bưởi|mật ong,"Trà bưởi mật ong size S (49.000đ) — chua nhẹ vị bưởi, ngọt tự nhiên mật ong, thanh mát. Phù hợp khách thích vị tự nhiên.",tea|pomelo|honey|citrus|natural|sweet|refreshing,true
menu_0013,Trà chanh,Lemon Tea,39000,S,tea,trà|chanh tươi|đường,"Trà chanh size S (39.000đ) — chua mát, giải khát, giá rẻ nhất trong nhóm trà. Phù hợp giải khát nhanh, ngân sách thấp.",tea|lemon|sour|refreshing|cheap|light|fruity,true
menu_0014,Chocolate Freeze,Chocolate Freeze,65000,S,freeze,chocolate|sữa|kem|đá xay,"Chocolate Freeze size S (65.000đ) — ngọt đậm vị socola, béo kem, thích hợp trời nóng. Phù hợp khách thích ngọt và kem.",freeze|chocolate|sweet|creamy|rich|cold|popular,true
menu_0015,Freeze Trà Xanh,Green Tea Freeze,65000,S,freeze,matcha|sữa|kem|đá xay,"Freeze Trà Xanh size S (65.000đ) — vị trà xanh nhẹ đắng, béo kem, mát lạnh. Phù hợp khách thích matcha và mát lạnh.",freeze|green-tea|matcha|sweet|cold|creamy|refreshing,true
menu_0016,Caramel Freeze,Caramel Freeze,65000,S,freeze,caramel|sữa|kem|đá xay,"Caramel Freeze size S (65.000đ) — ngọt caramel thơm, béo mịn, giải nhiệt tốt. Phù hợp khách thích caramel và đồ lạnh.",freeze|caramel|sweet|creamy|cold|popular,true
menu_0017,Freeze Khoai Môn,Taro Freeze,65000,S,freeze,khoai môn|sữa|kem|đá xay,"Freeze Khoai Môn size S (65.000đ) — vị khoai môn tím thơm đặc trưng, béo và ngọt. Phù hợp khách thích vị lạ độc đáo.",freeze|taro|sweet|creamy|cold|purple|unique,true
menu_0018,Bánh Mì Que,Crispy Baguette,25000,S,food,bánh mì|bơ,"Bánh Mì Que (25.000đ) — giòn rụm, ăn kèm đồ uống, giá rẻ nhất. Phù hợp ăn nhẹ kèm cà phê, tiết kiệm.",food|bread|snack|cheap|crispy,true
menu_0019,Bánh Phô Mai,Cheese Cake Slice,39000,S,food,phô mai|bơ|đường|trứng,"Bánh Phô Mai (39.000đ) — mềm mịn, béo phô mai, ngọt nhẹ. Phù hợp khách thích bánh ngọt cao cấp.",food|cake|cheese|soft|sweet|premium,true
menu_0020,Sừng Bò,Croissant,29000,S,food,bơ|bột mì,"Sừng Bò (29.000đ) — giòn xốp, thơm bơ Pháp, ăn sáng hoặc ăn nhẹ. Phù hợp ăn sáng nhanh kèm cà phê.",food|croissant|buttery|crispy|snack|light,true
menu_0021,Bánh Tiramisu,Tiramisu Cake,49000,S,food,mascarpone|cà phê|cocoa|ladyfinger,"Bánh Tiramisu (49.000đ) — vị cà phê đắng nhẹ, béo mascarpone, phủ bột cocoa. Phù hợp khách thích bánh kiểu Ý cao cấp.",food|cake|tiramisu|coffee|premium|sweet|italian,true
menu_0022,Cà phê đen đá,Iced Black Coffee,35000,M,coffee,cà phê robusta|đá,"Cà phê đen đá size M (35.000đ) — đậm vị, không sữa, tỉnh táo. Phù hợp khách thích vị đắng, muốn tỉnh ngủ, giá rẻ.",coffee|black|strong|iced|bitter|no-milk|cheap,true
menu_0023,Cà phê sữa đá,Iced Milk Coffee,45000,M,coffee,cà phê|sữa đặc|đá,"Cà phê sữa đá size M (45.000đ) — béo nhẹ, ngọt vừa, đậm vị. Phù hợp khách thích cà phê có sữa, vị cổ điển.",coffee|milk|sweet|iced|popular|classic,true
menu_0024,Bạc xỉu,White Coffee,45000,M,coffee,cà phê|sữa tươi|đá,"Bạc xỉu size M (45.000đ) — cà phê sữa nhạt hơn, thơm sữa, dịu vị. Phù hợp khách không thích đắng, thích sữa nhiều.",coffee|milk|mild|sweet|creamy|iced|popular,true
menu_0025,Cà phê đen nóng,Hot Black Coffee,35000,M,coffee,cà phê robusta,"Cà phê đen nóng size M (35.000đ) — đậm vị, nóng, không sữa, cổ điển. Phù hợp khách thích cà phê truyền thống buổi sáng.",coffee|black|strong|hot|bitter|no-milk|classic,true
menu_0026,Cà phê sữa nóng,Hot Milk Coffee,45000,M,coffee,cà phê|sữa đặc,"Cà phê sữa nóng size M (45.000đ) — ấm áp, béo sữa, ngọt vừa. Phù hợp buổi sáng lạnh hoặc thích đồ nóng.",coffee|milk|sweet|hot|warm|classic,true
menu_0027,Cappuccino,Cappuccino,65000,M,coffee,espresso|milk foam,"Cappuccino size M (65.000đ) — lớp bọt sữa mịn, vị espresso đậm, thơm. Phù hợp khách thích cà phê kiểu Ý.",coffee|espresso|foam|strong|premium|italian,true
menu_0028,Latte,Latte,65000,M,coffee,espresso|steamed milk,"Latte size M (65.000đ) — sữa nhiều hơn cappuccino, vị cà phê dịu hơn, béo mịn. Phù hợp khách thích vị nhẹ và sữa.",coffee|milk|smooth|creamy|mild|premium,true
menu_0029,Americano,Americano,55000,M,coffee,espresso|nước,"Americano size M (55.000đ) — espresso pha loãng, thanh mát, ít calo. Phù hợp khách ăn kiêng hoặc thích vị nhẹ.",coffee|espresso|black|light|low-sugar|no-milk,true
menu_0030,Trà sen vàng,Golden Lotus Tea,55000,M,tea,trà oolong|hoa sen|mật ong,"Trà sen vàng size M (55.000đ) — hương sen tinh tế, vị thanh nhẹ, thơm mật ong. Phù hợp khách thích trà hoa nhẹ nhàng.",tea|lotus|mild|sweet|fragrant|floral|light,true
menu_0031,Trà đào cam sả,Peach Lemongrass Tea,55000,M,tea,trà|đào|cam|sả,"Trà đào cam sả size M (55.000đ) — chua ngọt cân bằng, thanh mát, thơm sả. Phù hợp trời nóng, thích trái cây.",tea|peach|citrus|lemongrass|fruity|refreshing|sour-sweet,true
menu_0032,Trà vải,Lychee Tea,55000,M,tea,trà|vải thiều|đường,"Trà vải size M (55.000đ) — ngọt thanh hương vải, nhẹ nhàng. Phù hợp khách thích trà nhẹ dịu, hương trái cây.",tea|lychee|sweet|fruity|light|mild,true
menu_0033,Trà bưởi mật ong,Honey Pomelo Tea,59000,M,tea,trà|bưởi|mật ong,"Trà bưởi mật ong size M (59.000đ) — chua nhẹ vị bưởi, ngọt tự nhiên mật ong, thanh mát. Phù hợp khách thích vị tự nhiên.",tea|pomelo|honey|citrus|natural|sweet|refreshing,true
menu_0034,Trà chanh,Lemon Tea,49000,M,tea,trà|chanh tươi|đường,"Trà chanh size M (49.000đ) — chua mát, giải khát tốt. Phù hợp giải khát, ngân sách hợp lý.",tea|lemon|sour|refreshing|cheap|light|fruity,true
menu_0035,Chocolate Freeze,Chocolate Freeze,75000,M,freeze,chocolate|sữa|kem|đá xay,"Chocolate Freeze size M (75.000đ) — ngọt đậm vị socola, béo kem, thích hợp trời nóng. Phù hợp khách thích ngọt và kem.",freeze|chocolate|sweet|creamy|rich|cold|popular,true
menu_0036,Freeze Trà Xanh,Green Tea Freeze,75000,M,freeze,matcha|sữa|kem|đá xay,"Freeze Trà Xanh size M (75.000đ) — vị trà xanh nhẹ đắng, béo kem, mát lạnh. Phù hợp khách thích matcha và mát lạnh.",freeze|green-tea|matcha|sweet|cold|creamy|refreshing,true
menu_0037,Caramel Freeze,Caramel Freeze,75000,M,freeze,caramel|sữa|kem|đá xay,"Caramel Freeze size M (75.000đ) — ngọt caramel thơm, béo mịn, giải nhiệt tốt. Phù hợp khách thích caramel và đồ lạnh.",freeze|caramel|sweet|creamy|cold|popular,true
menu_0038,Freeze Khoai Môn,Taro Freeze,75000,M,freeze,khoai môn|sữa|kem|đá xay,"Freeze Khoai Môn size M (75.000đ) — vị khoai môn tím thơm đặc trưng, béo và ngọt. Phù hợp khách thích vị lạ độc đáo.",freeze|taro|sweet|creamy|cold|purple|unique,true
menu_0039,Cà phê đen đá,Iced Black Coffee,45000,L,coffee,cà phê robusta|đá,"Cà phê đen đá size L (45.000đ) — đậm vị, không sữa, tỉnh táo. Phù hợp khách thích vị đắng, muốn tỉnh ngủ, uống nhiều.",coffee|black|strong|iced|bitter|no-milk|cheap,true
menu_0040,Cà phê sữa đá,Iced Milk Coffee,55000,L,coffee,cà phê|sữa đặc|đá,"Cà phê sữa đá size L (55.000đ) — béo nhẹ, ngọt vừa, đậm vị. Phù hợp khách thích cà phê có sữa, uống nhiều.",coffee|milk|sweet|iced|popular|classic,true
menu_0041,Bạc xỉu,White Coffee,55000,L,coffee,cà phê|sữa tươi|đá,"Bạc xỉu size L (55.000đ) — cà phê sữa nhạt hơn, thơm sữa, dịu vị. Phù hợp khách không thích đắng, thích sữa nhiều, uống lâu.",coffee|milk|mild|sweet|creamy|iced|popular,true
menu_0042,Cà phê đen nóng,Hot Black Coffee,45000,L,coffee,cà phê robusta,"Cà phê đen nóng size L (45.000đ) — đậm vị, nóng, không sữa, cổ điển. Phù hợp khách thích cà phê truyền thống, uống nhiều.",coffee|black|strong|hot|bitter|no-milk|classic,true
menu_0043,Cà phê sữa nóng,Hot Milk Coffee,55000,L,coffee,cà phê|sữa đặc,"Cà phê sữa nóng size L (55.000đ) — ấm áp, béo sữa, ngọt vừa. Phù hợp thích đồ nóng, uống cả buổi sáng.",coffee|milk|sweet|hot|warm|classic,true
menu_0044,Cappuccino,Cappuccino,75000,L,coffee,espresso|milk foam,"Cappuccino size L (75.000đ) — lớp bọt sữa mịn, vị espresso đậm, thơm. Phù hợp khách thích cà phê kiểu Ý, uống nhiều.",coffee|espresso|foam|strong|premium|italian,true
