id,topic,question,answer,language,source_file
faq_0001,wifi,Wifi quán là gì?,"Wifi tên **Highlands_Guest**, mật khẩu **highlands123**. Anh/chị kết nối là dùng được ngay ạ.",vi,highlands_faq.csv
faq_0002,wifi,Mật khẩu wifi là gì?,"Wifi tên **Highlands_Guest**, mật khẩu **highlands123**. Anh/chị kết nối là dùng được ngay ạ.",vi,highlands_faq.csv
faq_0003,wifi,What's the wifi password?,"Our wifi is **Highlands_Guest**, password **highlands123**. Enjoy your connection!",en,highlands_faq.csv
faq_0004,opening_hours,Mấy giờ mở cửa?,"Quán mở cửa từ **7:00 sáng** đến **22:00 tối** mỗi ngày, kể cả cuối tuần và ngày lễ ạ.",vi,highlands_faq.csv
faq_0005,opening_hours,Quán đóng cửa lúc mấy giờ?,"Quán đóng cửa lúc **22:00** ạ. Anh/chị ghé trước giờ đó nhé!",vi,highlands_faq.csv
faq_0006,opening_hours,What are your opening hours?,"We're open daily from **7:00 AM to 10:00 PM**, including weekends and holidays.",en,highlands_faq.csv
faq_0007,payment,Quán thanh toán bằng gì?,"Quán hỗ trợ **tiền mặt**, **thẻ ngân hàng (Visa/Mastercard)**, **MoMo**, **ZaloPay** và **chuyển khoản** ạ.",vi,highlands_faq.csv
faq_0008,payment,Có nhận MoMo không?,"Dạ có ạ! Quán nhận **MoMo**, **ZaloPay**, tiền mặt và thẻ ngân hàng.",vi,highlands_faq.csv
faq_0009,payment,Do you accept credit cards?,"Yes! We accept **Visa**, **Mastercard**, **MoMo**, **ZaloPay**, bank transfer, and cash.",en,highlands_faq.csv
faq_0010,delivery,Có giao hàng không?,"Có ạ! Quán giao hàng qua **GrabFood**, **ShopeeFood** và **Baemin**. Anh/chị đặt trên app là được ngay ạ.",vi,highlands_faq.csv
faq_0011,delivery,Đặt qua grab được không?,"Được ạ! Quán có trên **GrabFood**, **ShopeeFood** và **Baemin** ạ.",vi,highlands_faq.csv
faq_0012,takeaway,Có bán mang đi không?,"Dạ có ạ! Tất cả món trong menu đều có thể mang đi (takeaway). Anh/chị báo nhân viên khi order nhé.",vi,highlands_faq.csv
faq_0013,parking,Có chỗ gửi xe không?,"Quán có **bãi giữ xe** ngay trước cửa ạ. Miễn phí trong 2 giờ đầu.",vi,highlands_faq.csv
faq_0014,invoice,Lấy hóa đơn VAT được không?,"Được ạ! Anh/chị yêu cầu **xuất hóa đơn VAT** tại quầy trước khi thanh toán, nhân viên sẽ hỗ trợ.",vi,highlands_faq.csv
faq_0015,loyalty,Có tích điểm không?,"Có ạ! Anh/chị tải app **Highlands Coffee** để tích điểm và đổi quà. Mỗi 1.000đ chi tiêu = 1 điểm.",vi,highlands_faq.csv
faq_0016,loyalty,App Highlands là gì?,"App **Highlands Coffee** cho phép tích điểm, xem ưu đãi, đặt hàng online. Tải trên App Store hoặc Google Play ạ.",vi,highlands_faq.csv
